epoch,Train_Loss,Train_dice,Val_Loss,Val_dice
1,0.1324,0.0928,0.0823,0.1464
2,0.0575,0.1735,0.0398,0.1762
3,0.0434,0.3023,0.0521,0.3037
4,0.0383,0.3991,0.0395,0.3471
5,0.0338,0.4705,0.069,0.2845
6,0.0322,0.4751,0.0911,0.2822
7,0.0305,0.5172,0.0547,0.3725
8,0.031,0.5353,0.0368,0.428
9,0.0282,0.5608,0.036,0.4238
10,0.0282,0.5794,0.0342,0.4513
11,0.0254,0.6028,0.0286,0.4744
12,0.0279,0.5778,0.0476,0.3949
13,0.0252,0.6068,0.0349,0.4553
14,0.0244,0.6126,0.0257,0.4473
15,0.0245,0.6218,0.0317,0.4263
16,0.0239,0.6163,0.0242,0.5034
17,0.0239,0.6366,0.0234,0.5213
18,0.0233,0.6399,0.0259,0.4992
19,0.0222,0.6551,0.0214,0.5214
20,0.0203,0.6773,0.0193,0.5211
21,0.0214,0.6785,0.02,0.5482
22,0.0203,0.6872,0.0211,0.5406
23,0.0202,0.6937,0.0222,0.5269
24,0.0196,0.6926,0.021,0.5384
25,0.0196,0.6952,0.0197,0.559
26,0.0197,0.6972,0.0213,0.5408
27,0.0189,0.6957,0.0195,0.5464
28,0.0199,0.7002,0.0209,0.5479
29,0.0195,0.6996,0.0219,0.5453
30,0.0191,0.7051,0.019,0.5329
